Data
5.12
4.49
5.12
4.49
5.12
4.56
4.49
4.54
4.64
4.56
4.19
4.42
4.45
4.75
4.5
4.46
4.55
4.51
4.76
4.9
4.49
4.53
4.56
5.12
4.48
4.49
4.5
4.55
4.48
4.43
4.54
4.7
4.5
4.55
4.19
4.45
4.63
4.41
4.45
4.5
4.19
4.5
4.45
4.63
4.44
4.51
4.49
4.49
4.75
5.12
4.56
4.44
4.42
4.56
4.51
4.7
4.53
4.56
4.49
4.91
4.51
4.52
4.57
4.51
